a1,a2,a3,net,nmi_avg,nmi_max
0.0,0.05,0.95,net_0,1.0,1.0
0.0,0.5,0.5,net_1,0.988172,0.990721
0.3,0.0,0.7,net_2,0.981611,0.99124
0.4,0.0,0.6,net_3,0.971277,0.985175
9.765625e-14,0.45,0.55,net_4,0.975629,0.984279
0.5,0.0,0.5,net_5,0.955582,0.970462
7.324219e-17,0.6,0.4,net_6,0.960092,0.9713
0.5,0.0,0.5,net_7,0.955883,0.969662
0.45,0.0,0.55,net_8,0.942661,0.960633
0.45,0.0,0.55,net_9,0.948875,0.959408
0.25,0.0,0.75,net_10,0.946259,0.96202
3.90625e-11,0.35,0.65,net_11,0.935121,0.951228
0.35,0.0,0.65,net_12,0.944775,0.957528
6.103516e-17,0.6,0.4,net_13,0.938966,0.95806
2.441406e-18,0.65,0.35,net_14,0.922773,0.944779
1.367187e-11,0.4,0.6,net_15,0.9145,0.938182
2.441406e-14,0.5,0.5,net_16,0.919967,0.937189
0.0,0.5,0.5,net_17,0.908653,0.935346
3.125e-10,0.35,0.65,net_18,0.912107,0.940328
0.7,0.0,0.3,net_19,0.907979,0.934148
2.441406e-16,0.55,0.45,net_20,0.894081,0.916653
1.220703e-19,0.7,0.3,net_21,0.885571,0.906895
0.0,0.65,0.35,net_22,0.886288,0.907831
0.4,0.0,0.6,net_23,0.871083,0.9003
3.90625e-13,0.45,0.55,net_24,0.855945,0.881518
3.515625e-10,0.35,0.65,net_25,0.855683,0.892788
1.220703e-15,0.55,0.45,net_26,0.824415,0.906038
3.662109e-17,0.6,0.4,net_27,0.801113,0.864262
4.882813e-13,0.45,0.55,net_28,0.766155,0.87597
2.441406e-14,0.5,0.5,net_29,0.733647,0.828557
2.929688e-14,0.5,0.5,net_30,0.626474,0.824422
6.835937e-13,0.45,0.55,net_31,0.490517,0.724617
2.929688e-14,0.5,0.5,net_32,0.455039,0.701447
0.75,0.0,0.25,net_33,0.333069,0.507495
0.7,0.0,0.3,net_34,0.276746,0.466301
0.65,0.0,0.35,net_35,0.300199,0.456412
0.75,0.0,0.25,net_36,0.245874,0.388455
0.8,0.0,0.2,net_37,0.241216,0.350897
0.8,0.0,0.2,net_38,0.238104,0.315157
0.75,0.0,0.25,net_39,0.256411,0.329895
0.75,0.0,0.25,net_40,0.22887,0.280969
0.0325,0.05,0.9175,net_41,0.233519,0.280209
0.75,0.0,0.25,net_42,0.222441,0.271558
0.0,0.95,0.05,net_43,0.229278,0.272785
1.907349e-25,0.9,0.1,net_44,0.240398,0.285202
0.05,0.0,0.95,net_45,0.180018,0.215724
0.1,0.0,0.9,net_46,0.226507,0.277967
0.0,0.85,0.15,net_47,0.22025,0.268094
0.001,0.1,0.899,net_48,0.192607,0.227616
0.0,0.05,0.95,net_49,0.25828,0.298498
